name,url,status,size,sha256,error
n-install,https://raw.githubusercontent.com/mklement0/n-install/master/bin/n-install,ok,43286,1f645d9bd5edfbac6c6ad05b5791e60bfcbf568fd651007172f33e2cd469314d,
nixpacks,https://nixpacks.com/install.sh,ok,11602,9d0ee71f328b19d5927f62005987c588b007a2fd66b0eb2d3877bfef176888c2,
qmk,https://raw.githubusercontent.com/qmk/qmk_firmware/master/util/qmk_install.sh,ok,2857,e39aa7e56b2bfa2880aa0c9ccfc974aff15a191eeadaf0466cd9fb8cdc03db3b,
ruff,https://astral.sh/ruff/install.sh,ok,68260,61842c68a0f3c08023c750d205da3f9ab6562b832608c05ab3b36b70cb653f0e,
symfony-cli,https://get.symfony.com/cli/installer,ok,6100,cd51f8361d7068797cd98725afb4dbad4bf81d1c3c7121761d6f71ce97e8fc25,
trunk-io,https://get.trunk.io,ok,2006,ec4ef7cd5fc5df935d8ade56c0ec29f3ff0e5a71a5494229a200e7af4b89a9e7,
warpstream,https://console.warpstream.com/install.sh,ok,3276,763fe95fcd88be513355f565ea753f93946d30ecad38b75abfd82cfb20de3adc,
wasp-lang,https://get.wasp-lang.dev/installer.sh,ok,409,e1610aec538d072b92bff543b5d3033d7845e0f458f946358d6fc4e870f1b1af,
chaos-mesh,https://mirrors.chaos-mesh.org/latest/install.sh,ok,90314,c40585adc0faa989e842ebf466d73e74f91e3b6931571de4022016ec3b4e4277,
fzf,https://raw.githubusercontent.com/junegunn/fzf/master/install,ok,13738,436e9143e2ead5e793f3439d8d45f2b256fa8594c19f5798ae748d9def9f4f0b,
golangci-lint,https://raw.githubusercontent.com/golangci/golangci-lint/master/install.sh,ok,11589,9e99d38f3213411a1b6175e5b535c72e37c7ed42ccf251d331385a3f97b695e7,
rancherd,https://get.rancher.io,ok,5543,6366ce3b45b5299c1c8d367d0d99299d5530d7e7f27b56386a289072ad4418d9,
actionlint,https://raw.githubusercontent.com/rhysd/actionlint/main/scripts/download-actionlint.bash,ok,4059,a96d60132afb74536ff2b55cc784d5c55b0b57980d3d49f962f0b3871447d53a,
act-nektos,https://raw.githubusercontent.com/nektos/act/master/install.sh,ok,10964,11abcff86ac5ce8b147d4c4ddb4fcee710874adaaf546dc82b7881ee7e0a5778,
trufflehog,https://raw.githubusercontent.com/trufflesecurity/trufflehog/main/scripts/install.sh,ok,9832,c394defeaea8a7c48f828a2051b608a9b19f43f34b891407b66a386c3e2591e2,
crossplane,https://raw.githubusercontent.com/crossplane/crossplane/master/install.sh,ok,2708,46ea44f55c7ec0d2c37287d8611c5808baf0ed6257872d26fe8ef794952a11a8,
ctop,https://raw.githubusercontent.com/bcicen/ctop/master/install.sh,ok,2024,2df0beefcc473e9295e568075e4cdb09211af47db3e230ef0d0a23a83c7ba92f,
upbound-cli,https://cli.upbound.io/install.sh,ok,2400,ac40fc7106f2248d2f417a552138e513c0c8183f57a96080aa5980af7a8711e8,
confluent-cli,https://cnfl.io/cli,ok,11906,0c592bb4004aacdf9a8dde05a88fab3a52d11e3520d916a70398d211cfe2f4ff,
gel,https://www.geldata.com/sh,ok,14673,722d3a85160b98f1b2347ad2af9efb6c42591e8b3756316af75a277f18db8b45,
ubi,https://raw.githubusercontent.com/houseabsolute/ubi/master/bootstrap/bootstrap-ubi.sh,ok,6379,86deb4b2060f07ba22e0c062f0c733be59174ef8d97e5680c744f904142c7cb1,
encore,https://encore.dev/install.sh,ok,2097,3e8344b509dac145165498c53aeb4b9eaeac050eaeab404cbca86014b27f4ba5,
jbang,https://sh.jbang.dev,ok,10817,11ab5908e92c5308ae220d52163394e126c84d45357ee4e81a17177c6ced3b07,
pants-build,https://static.pantsbuild.org/setup/get-pants.sh,ok,4923,9357a2fd2981defaed29192bf839515586fbeafa0205e2e7818a8068f7f2e359,
please-build,https://get.please.build,ok,2390,1eec7dc7ca101ed2de768601b6e3397cadd75acfb475fcf089adc540b7851dfc,
crystal-lang,https://crystal-lang.org/install.sh,ok,7178,4bcc134dfa9a4784f1042ce4cd569d3e5970bac8149c66d7067b6574cdc61760,
joplin,https://raw.githubusercontent.com/laurent22/joplin/dev/Joplin_install_and_update.sh,ok,14341,3a64f1f3c4cb91d6f9f0a4b460dc0e88b68726006db5f20c491017ac66b06fe7,
clickhouse,https://clickhouse.com/,error,0,,"response looks like an HTML page, not a shell script (337196 bytes)"
teaxyz,https://tea.xyz,error,0,,"response looks like an HTML page, not a shell script (99229 bytes)"
pkgx,https://pkgx.sh,error,0,,"response looks like an HTML page, not a shell script (374458 bytes)"
duckdb,https://install.duckdb.org,ok,4163,e4efff000917d58b357a511183a223fdfe831f6083ab0b73053b76509ecbf5fe,
ty,https://astral.sh/ty/install.sh,ok,68020,44b93dd90c2d6675288f1de246e641dccbeb4d692b8ddee14b4c77b7c69d8bd3,
